iter	RMSE
0	0.9842347776
1	0.9704855828
2	0.9584608272
3	0.9478393182
4	0.9386988787
5	0.9306723666
6	0.9235372775
7	0.9172761329
8	0.9119394523
9	0.9073344419
10	0.9033345374
11	0.8997263804
12	0.8966727849
13	0.894040577
14	0.8917558908
15	0.8896597078
16	0.8879596318
17	0.8864877761
18	0.8852028643
19	0.883999467
20	0.8830016935
21	0.8820662141
22	0.8812838071
23	0.8805562237
24	0.8799626003
25	0.8794934181
26	0.8790493279
27	0.8786668941
28	0.8782674083
29	0.8779706107
30	0.8776828126
31	0.8774323475
32	0.877198948
33	0.8769900251
34	0.8767879895
35	0.8766109453
36	0.8764777676
37	0.8763145366
38	0.8762099877
39	0.876103557
40	0.8759904127
41	0.8758883141
42	0.8757561308
43	0.8756565224
44	0.875624152
45	0.8755379496
46	0.8754163937
47	0.8753419385
48	0.8752624521
49	0.8751887315
50	0.8751189939
51	0.8750610773
52	0.8749695597
53	0.8749186723
54	0.8748486994
55	0.8747916239
56	0.8747007027
57	0.874626901
58	0.8745408886
59	0.8744534163
60	0.8743667579
61	0.874248464
62	0.8741839337
63	0.8741028137
64	0.8740631045
65	0.8739281856
66	0.8738335382
67	0.8737100679
68	0.8736415257
69	0.8735851052
70	0.8734860676
71	0.8733927546
72	0.873264461
73	0.8731886505
74	0.8731473247
75	0.8730973991
76	0.873034571
77	0.8729601749
78	0.8728668842
79	0.8728122658
80	0.8727163877
81	0.8726433061
82	0.8726046357
83	0.872556341
84	0.8724660282
85	0.8723703057
86	0.872264024
87	0.8722116927
88	0.8721505127
89	0.8720845082
90	0.8720217443
91	0.8719635339
92	0.8718110125
93	0.871725817
94	0.8716545027
95	0.8715481623
96	0.8714749593
97	0.8714102062
98	0.8713581367
99	0.8712701763
100	0.8711176422
101	0.8710413615
102	0.8709270774
103	0.8708204789
104	0.8707525578
105	0.8706340972
106	0.8705907
107	0.8704458432
108	0.8703709805
109	0.8702972443
110	0.8702131081
111	0.8701738301
112	0.8700489836
113	0.8699942305
114	0.8699495002
115	0.869862332
116	0.8697614125
117	0.869669885
118	0.8695233505
119	0.8694889849
120	0.8694124124
121	0.8693332962
122	0.8692908965
123	0.869211594
124	0.8690927766
125	0.8690490223
126	0.8690028005
127	0.8689247323
128	0.8688243268
129	0.8687688674
130	0.8686915774
131	0.8686038797
132	0.8685383442
133	0.8685036761
134	0.8684004487
135	0.8683474247
136	0.8682977584
137	0.8682356271
138	0.8681719044
139	0.8680783952
140	0.8679643148
141	0.8678858796
142	0.8677659339
143	0.8676519402
144	0.8675606638
145	0.8674518206
146	0.8674108889
147	0.86734915
148	0.8672943038
149	0.8671860048
150	0.8671129685
151	0.8670063753
152	0.8669220517
153	0.8668943189
154	0.8668116111
155	0.8666795627
156	0.8665243755
157	0.8664258665
158	0.866344541
159	0.8662312774
160	0.8660742462
161	0.865959568
162	0.8658641152
163	0.8657706126
164	0.8656649548
165	0.8655344838
166	0.8654700301
167	0.865378813
168	0.8652949536
169	0.865193724
170	0.8650957078
171	0.8649983929
172	0.864848514
173	0.864727991
174	0.8646161836
175	0.8645440303
176	0.8644759619
177	0.864352475
178	0.8642006018
179	0.8640739388
180	0.8639364644
181	0.8637929135
182	0.8636958007
183	0.8635782054
184	0.8634958703
185	0.863428584
186	0.8633014765
187	0.8632230764
188	0.8631173669
189	0.8630368048
190	0.8629335159
191	0.8628357288
192	0.862740515
193	0.8626849149
194	0.8625562437
195	0.8624497114
196	0.8623838859
197	0.8623121078
198	0.862220837
199	0.8620783321
200	0.8619640678
201	0.8618224324
202	0.8617034755
203	0.8615952504
204	0.8614513325
205	0.861312293
206	0.8612067085
207	0.8611290378
208	0.8610922098
209	0.8610112673
210	0.8609326138
211	0.860844339
212	0.8607624208
213	0.8606838127
214	0.8604972944
215	0.8604133893
216	0.8602720167
217	0.8601039335
218	0.8600178179
219	0.8598933256
220	0.8598230423
221	0.859684759
222	0.8595679048
223	0.8594909134
224	0.8594045828
225	0.8593135887
226	0.8592039608
227	0.8591272289
228	0.85901701
229	0.8588930624
230	0.8587889169
231	0.858707192
232	0.8586005015
233	0.8585334848
234	0.8583997746
235	0.8583459279
236	0.8582341146
237	0.8581534873
