iter	Passed	Remaining
0	152	152086
1	159	79802
2	167	55699
3	180	44832
4	191	38074
5	204	33951
6	215	30634
7	226	28064
8	238	26229
9	244	24248
10	254	22871
11	265	21851
12	276	20965
13	289	20361
14	303	19952
15	317	19518
16	324	18746
17	335	18310
18	354	18324
19	380	18634
20	402	18765
21	422	18783
22	443	18853
23	467	19000
24	482	18810
25	507	19002
26	527	19016
27	558	19377
28	592	19833
29	629	20338
30	646	20221
31	681	20614
32	698	20474
33	712	20252
34	728	20075
35	741	19857
36	762	19855
37	785	19896
38	795	19608
39	808	19411
40	821	19208
41	833	19004
42	852	18968
43	866	18831
44	874	18550
45	884	18335
46	896	18181
47	907	18002
48	920	17861
49	951	18072
50	972	18091
51	986	17984
52	1004	17954
53	1065	18668
54	1102	18946
55	1123	18931
56	1142	18896
57	1155	18759
58	1171	18678
59	1186	18584
60	1202	18505
61	1215	18394
62	1230	18307
63	1246	18236
64	1262	18164
65	1277	18080
66	1291	17989
67	1302	17849
68	1316	17769
69	1334	17725
70	1351	17678
71	1363	17574
72	1375	17464
73	1386	17350
74	1395	17210
75	1408	17127
76	1428	17118
77	1443	17065
78	1458	17007
79	1477	16995
80	1492	16937
81	1507	16876
82	1521	16806
83	1533	16727
84	1543	16618
85	1557	16548
86	1570	16484
87	1582	16404
88	1598	16362
89	1617	16357
90	1628	16271
91	1638	16175
92	1652	16111
93	1664	16040
94	1673	15940
95	1686	15877
96	1698	15807
97	1706	15710
98	1718	15637
99	1729	15569
100	1738	15476
101	1750	15409
102	1763	15355
103	1775	15293
104	1784	15211
105	1799	15175
106	1811	15119
107	1822	15050
108	1832	14980
109	1842	14910
110	1850	14822
111	1860	14748
112	1868	14663
113	1878	14596
114	1885	14513
115	1895	14443
116	1907	14394
117	1915	14319
118	1926	14259
119	1933	14182
120	1942	14112
121	1950	14040
122	1959	13968
123	1970	13920
124	1979	13858
125	1989	13802
126	1997	13730
127	2005	13665
128	2014	13599
129	2026	13562
130	2036	13507
131	2044	13444
132	2052	13381
133	2060	13314
134	2070	13264
135	2078	13203
136	2087	13151
137	2096	13095
138	2104	13036
139	2113	12985
140	2123	12934
141	2133	12888
142	2141	12832
143	2149	12780
144	2159	12731
145	2169	12689
146	2178	12643
147	2187	12592
148	2194	12536
149	2202	12482
150	2212	12438
151	2220	12390
152	2229	12344
153	2236	12287
154	2245	12240
155	2252	12188
156	2262	12148
157	2270	12098
158	2279	12058
159	2288	12013
160	2298	11975
161	2310	11949
162	2318	11907
163	2330	11880
164	2339	11839
165	2350	11810
166	2362	11783
167	2371	11746
168	2380	11706
169	2391	11675
170	2399	11633
171	2410	11604
172	2420	11568
173	2428	11527
174	2436	11484
175	2444	11443
176	2452	11404
177	2461	11367
178	2471	11335
179	2479	11294
180	2487	11256
181	2496	11219
182	2506	11189
183	2515	11154
184	2523	11117
185	2532	11080
186	2540	11043
187	2547	11004
188	2557	10974
189	2567	10943
190	2575	10908
191	2583	10871
192	2592	10841
193	2602	10812
194	2612	10784
195	2620	10751
196	2629	10717
197	2639	10689
198	2649	10665
199	2661	10644
200	2669	10611
201	2677	10579
202	2686	10546
203	2695	10517
204	2704	10487
205	2713	10460
206	2721	10426
207	2729	10393
208	2737	10360
209	2747	10335
210	2755	10303
211	2764	10275
212	2773	10246
213	2782	10219
214	2792	10195
215	2800	10165
216	2811	10142
217	2819	10113
218	2828	10086
219	2836	10057
220	2847	10035
221	2856	10011
222	2866	9987
223	2876	9964
224	2884	9935
225	2894	9913
226	2905	9892
227	2913	9865
228	2922	9838
229	2930	9809
230	2941	9793
231	2949	9762
232	2958	9738
233	2967	9715
234	2975	9687
235	2983	9657
236	2993	9636
237	3002	9614
238	3012	9590
239	3020	9565
240	3029	9539
241	3039	9520
242	3049	9500
243	3058	9475
244	3067	9452
245	3076	9430
246	3088	9414
247	3098	9394
248	3106	9370
249	3115	9345
250	3122	9319
251	3133	9300
252	3142	9277
253	3151	9255
254	3159	9231
255	3169	9211
256	3180	9194
257	3188	9171
258	3198	9151
259	3207	9127
260	3214	9102
261	3224	9082
262	3234	9062
263	3243	9041
264	3251	9018
265	3259	8995
266	3269	8974
267	3279	8956
268	3287	8934
269	3299	8921
270	3308	8901
271	3316	8877
272	3326	8858
273	3334	8835
274	3343	8815
275	3352	8794
276	3363	8779
277	3374	8763
278	3382	8741
279	3392	8723
280	3399	8699
281	3408	8677
282	3416	8655
283	3426	8639
284	3436	8620
285	3444	8598
286	3452	8576
287	3460	8554
288	3468	8534
289	3477	8514
290	3487	8496
291	3496	8476
292	3504	8457
293	3512	8435
294	3539	8457
295	3547	8437
296	3556	8417
297	3564	8396
298	3575	8381
299	3585	8365
300	3592	8343
301	3601	8324
302	3609	8303
303	3619	8285
304	3627	8264
305	3637	8249
306	3646	8230
307	3656	8214
308	3666	8199
309	3675	8180
310	3684	8162
311	3692	8142
312	3700	8122
313	3709	8103
314	3719	8088
315	3728	8070
316	3736	8050
317	3745	8033
318	3753	8013
319	3763	7998
320	3772	7980
321	3782	7964
322	3790	7945
323	3800	7928
324	3810	7913
325	3818	7894
326	3828	7880
327	3837	7862
328	3846	7844
329	3855	7827
330	3865	7812
331	3875	7797
332	3886	7784
333	3895	7768
334	3908	7757
335	3916	7739
336	3925	7723
337	3933	7704
338	3942	7686
339	3949	7667
340	3959	7652
341	3968	7635
342	3977	7618
343	3989	7608
344	4004	7602
345	4018	7595
346	4030	7584
347	4042	7573
348	4056	7566
349	4070	7558
350	4083	7549
351	4094	7537
352	4108	7530
353	4121	7521
354	4133	7509
355	4145	7499
356	4161	7495
357	4176	7490
358	4189	7480
359	4203	7473
360	4215	7462
361	4226	7449
362	4237	7436
363	4250	7425
364	4260	7412
365	4270	7397
366	4280	7382
367	4290	7368
368	4301	7356
369	4313	7344
370	4324	7332
371	4335	7319
372	4347	7307
373	4357	7294
374	4367	7279
375	4381	7271
376	4394	7262
377	4405	7249
378	4415	7235
379	4426	7222
380	4437	7209
381	4448	7196
382	4459	7183
383	4469	7170
384	4478	7153
385	4488	7139
386	4498	7125
387	4509	7113
388	4520	7100
389	4529	7084
390	4542	7075
391	4554	7063
392	4562	7047
393	4573	7034
394	4586	7024
395	4598	7013
396	4608	6999
397	4618	6986
398	4625	6967
399	4634	6952
400	4643	6935
401	4652	6920
402	4659	6902
403	4667	6885
404	4676	6869
405	4686	6857
406	4695	6840
407	4703	6824
408	4711	6808
409	4720	6792
410	4728	6776
411	4736	6759
412	4745	6744
413	4752	6726
414	4760	6710
415	4767	6693
416	4777	6679
417	4786	6664
418	4797	6652
419	4806	6638
420	4815	6622
421	4825	6609
422	4834	6593
423	4843	6580
424	4851	6563
425	4859	6547
426	4867	6531
427	4877	6519
428	4886	6504
429	4896	6491
430	4906	6477
431	4913	6460
432	4925	6449
433	4933	6433
434	4942	6419
435	4949	6402
436	4958	6387
437	4965	6371
438	4975	6358
439	4982	6341
440	4992	6327
441	5000	6312
442	5008	6297
443	5016	6282
444	5027	6269
445	5036	6256
446	5044	6240
447	5052	6224
448	5059	6209
449	5069	6195
450	5077	6180
451	5085	6166
452	5093	6150
453	5101	6135
454	5108	6119
455	5118	6106
456	5125	6090
457	5135	6076
458	5142	6060
459	5150	6045
460	5158	6031
461	5168	6018
462	5176	6004
463	5186	5991
464	5195	5977
465	5202	5961
466	5210	5946
467	5219	5933
468	5228	5919
469	5236	5905
470	5245	5891
471	5252	5875
472	5260	5860
473	5268	5846
474	5277	5832
475	5286	5819
476	5295	5805
477	5303	5791
478	5312	5778
479	5320	5764
480	5329	5750
481	5338	5737
482	5345	5722
483	5353	5707
484	5363	5695
485	5373	5682
486	5380	5668
487	5389	5655
488	5398	5641
489	5408	5629
490	5418	5616
491	5428	5605
492	5437	5592
493	5445	5577
494	5455	5565
495	5464	5552
496	5473	5539
497	5480	5524
498	5487	5509
499	5495	5495
500	5504	5482
501	5513	5469
502	5521	5455
503	5529	5441
504	5537	5427
505	5544	5412
506	5553	5399
507	5560	5385
508	5570	5373
509	5577	5358
510	5585	5345
511	5593	5330
512	5601	5318
513	5609	5304
514	5618	5291
515	5625	5276
516	5632	5262
517	5640	5248
518	5650	5236
519	5658	5222
520	5667	5210
521	5675	5196
522	5684	5184
523	5692	5171
524	5701	5158
525	5710	5145
526	5717	5132
527	5726	5118
528	5734	5105
529	5742	5092
530	5752	5080
531	5760	5067
532	5767	5053
533	5776	5040
534	5784	5027
535	5794	5015
536	5801	5002
537	5810	4989
538	5818	4976
539	5825	4962
540	5833	4949
541	5842	4937
542	5851	4925
543	5861	4913
544	5869	4900
545	5878	4887
546	5885	4873
547	5894	4862
548	5902	4848
549	5911	4836
550	5919	4823
551	5929	4812
552	5940	4801
553	5948	4788
554	5957	4777
555	5965	4763
556	5973	4750
557	5981	4737
558	5990	4725
559	5998	4712
560	6007	4700
561	6015	4688
562	6023	4675
563	6031	4662
564	6041	4651
565	6049	4638
566	6057	4626
567	6064	4612
568	6072	4599
569	6081	4587
570	6090	4576
571	6100	4564
572	6107	4551
573	6115	4538
574	6123	4526
575	6132	4514
576	6140	4501
577	6150	4490
578	6157	4477
579	6165	4464
580	6173	4452
581	6184	4441
582	6192	4429
583	6201	4417
584	6212	4406
585	6220	4394
586	6230	4383
587	6238	4370
588	6246	4359
589	6256	4347
590	6265	4335
591	6273	4323
592	6282	4312
593	6292	4300
594	6300	4288
595	6308	4276
596	6318	4264
597	6332	4256
598	6343	4246
599	6356	4237
600	6367	4227
601	6380	4218
602	6391	4208
603	6401	4196
604	6410	4185
605	6420	4174
606	6432	4164
607	6449	4158
608	6460	4147
609	6473	4138
610	6490	4132
611	6503	4123
612	6515	4113
613	6527	4103
614	6538	4093
615	6550	4083
616	6561	4072
617	6575	4064
618	6587	4054
619	6597	4043
620	6609	4033
621	6624	4025
622	6634	4014
623	6643	4003
624	6657	3994
625	6669	3984
626	6678	3973
627	6688	3961
628	6699	3951
629	6709	3940
630	6721	3930
631	6732	3920
632	6741	3908
633	6750	3897
634	6762	3886
635	6772	3876
636	6782	3865
637	6790	3853
638	6799	3841
639	6807	3829
640	6820	3819
641	6830	3808
642	6839	3797
643	6848	3785
644	6857	3774
645	6868	3763
646	6878	3753
647	6886	3741
648	6896	3729
649	6904	3717
650	6914	3706
651	6923	3695
652	6933	3684
653	6942	3672
654	6951	3661
655	6962	3651
656	6970	3639
657	6979	3627
658	6988	3616
659	6997	3604
660	7007	3593
